Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T128,Komentar Balasan,https://vt.tiktok.com/ZSPPktMWB/,sentriadi,@sentriadi: tertekan dengar lagunya udah 1 tahun nganggur soalnya 😭😭😭,,,28,9,,2022,T20,TikTok,Indonesia
T129,Komentar Balasan,https://vt.tiktok.com/ZSPPktMWB/,hahihuheho,@hahihuheho: susah co nyari kerjaan apa lagi fresh graduate harus ada orng dlm,,,25,10,,2022,T20,TikTok,Indonesia
T130,Komentar Balasan,https://vt.tiktok.com/ZSPPktMWB/,silent in silence🦋,@silent in silence🦋: kita sama bang hampir 5 Bln nganggur 🙂,,,6,2,,2022,T20,TikTok,Indonesia
T131,Komentar Balasan,https://vt.tiktok.com/ZSPPAFdEq/,bebankecamatan,"@bebankecamatan: ini semua gara2 syarat loker max umur 25,good looking, bisa bahasa Inggris dan Mandarin, min pengalaman 2 atau 3 tahun di bidang yang sama",,,361,17,,2023,T21,TikTok,Indonesia
T132,Komentar Balasan,https://vt.tiktok.com/ZSPPAFdEq/,Nanda shiball😎,@Nanda shiball😎: aku kehitung ga ya dalam 7 juta orang itu😂,,,291,23,,2023,T21,TikTok,Indonesia
T133,Komentar Balasan,https://vt.tiktok.com/ZSPPAFdEq/,AnIdiotSandwich,"@AnIdiotSandwich: syarat kerja elit, gaji sulit🗿",,,215,10,,2023,T21,TikTok,Indonesia
T134,Komentar Balasan,https://vt.tiktok.com/ZSPPAFdEq/,Fans emyu♥️,@Fans emyu♥️: emang sesulit itu bang sekarang cari kerja,,,130,5,,2023,T21,TikTok,Indonesia
T135,Komentar Balasan,https://vt.tiktok.com/ZSPPDkn5q/,candaasyg,@candaasyg: ide bagus bg 🗿 PT pagi nunggu sore,,,3523,16,,2023,T22,TikTok,Indonesia
T136,Komentar Balasan,https://vt.tiktok.com/ZSPPDkn5q/,payyy,"@payyy: gua salah satunya anjerr, dah nganggur 6 bulan dari abis wisudah, info loker teman teman",,,814,147,,2023,T22,TikTok,Indonesia
T137,Komentar Balasan,https://vt.tiktok.com/ZSPPDkn5q/,Sann,@Sann: Gas buat PT pengangguran sukses wkwkwk,,,203,2,,2023,T22,TikTok,Indonesia
T138,Komentar Balasan,https://vt.tiktok.com/ZSPPDkn5q/,Akun telah di blokir,@Akun telah di blokir: bismillah gw 2024 jadi boss muda amin kalian juga 😇,,,82,1,,2023,T22,TikTok,Indonesia
T139,Komentar Balasan,https://vt.tiktok.com/ZSPPU6CX2/,aku rela,@aku rela: ini semua gara2 syarat loker max umur 25,,,787,80,,2023,T23,TikTok,Indonesia
T140,Komentar Balasan,https://vt.tiktok.com/ZSPPU6CX2/,Ddyynzxz,@Ddyynzxz: Jadi pengangguran juga banyak saingannya ternyata,,,357,3,,2023,T23,TikTok,Indonesia
